,productnaam,prijs
0,amd ryzen 5 5600x processor,179
1,amd ryzen 7 5800x processor,249
2,amd ryzen 5 5600 processor,149
3,amd ryzen 7 5800x3d processor,399
4,amd ryzen 7 5700x processor,209
5,amd ryzen 5 5600g processor,129
6,amd ryzen 9 5900x processor,379
7,amd ryzen 5 5500 processor,108
8,amd ryzen 5 3600 processor,89
9,amd ryzen 7 5700g processor,219
10,amd ryzen 9 5950x processor,549
11,amd ryzen 5 3600 processor,189
12,amd ryzen 5 4500 processor,83
13,amd ryzen 5 4600g processor,109
14,amd ryzen 5 3400g processor,119
15,amd ryzen 5 2600 processor,198
16,amd ryzen 7 3800x processor,289
17,amd ryzen 5 3600x processor,269
18,amd ryzen 9 3900x processor,589
19,amd ryzen 3 4100 processor,99
20,amd ryzen 3 3200g processor,134
21,amd ryzen 3 3100 processor,110
22,amd ryzen 7 2700x processor,148
23,"amd ryzen 5 5600 3,5 ghz 32 mb l3 processor",269
24,amd ryzen™ 5 pro 4650g processor,309
25,amd ryzen 5 5600x processor,179
26,amd ryzen 7 5800x processor,249
27,amd ryzen 5 5600 processor,149
28,amd ryzen 7 5800x3d processor,399
29,amd ryzen 7 5700x processor,209
30,amd ryzen 5 5600g processor,129
31,amd ryzen 9 5900x processor,379
32,amd ryzen 5 5500 processor,108
33,amd ryzen 5 3600 processor,89
34,amd ryzen 7 5700g processor,219
35,amd ryzen 9 5950x processor,549
36,amd ryzen 5 3600 processor,189
37,amd ryzen 5 4500 processor,83
38,amd ryzen 5 4600g processor,109
39,amd ryzen 5 3400g processor,119
40,amd ryzen 5 2600 processor,198
41,amd ryzen 7 3800x processor,289
42,amd ryzen 5 3600x processor,269
43,amd ryzen 9 3900x processor,589
44,amd ryzen 3 4100 processor,99
45,amd ryzen 3 3200g processor,134
46,amd ryzen 3 3100 processor,110
47,amd ryzen 7 2700x processor,148
48,"amd ryzen 5 5600 3,5 ghz 32 mb l3 processor",269
49,amd ryzen™ 5 pro 4650g processor,309
50,amd ryzen™ 7 3800xt processor,459
51,amd ryzen™ 5 1600 processor,165
52,amd ryzen™ 5 2600x processor,249
53,amd ryzen 9 3950x processor,699
54,amd ryzen 3 1200 processor,128
55,amd ryzen 3 2200g processor,157
56,amd athlon 3000g processor,103
57,amd ryzen 5 3500x processor,193
58,amd ryzen 5 3600xt processor,319
59,"intel xeon 6254 3,1 ghz 24,75 mb processor",4220
60,"intel xeon w-3245 3,2 ghz 22 mb processor",3090
61,"intel 6248r 35,75 mb processor",2760
62,"amd ryzen 5 4500 3,6 ghz 8 mb l3 processor",169
63,"intel xeon 4208 2,1 ghz 11 mb processor",439
64,intel e5-2620v4 processor,409
65,intel xeon e5-2640 v3 processor,379
66,"intel 6246r 35,75 mb processor",3470
67,"intel xeon w-2275 3,3 ghz 19,25 mb processor",1720
68,"intel xeon 5215 2,5 ghz 13,75 mb processor",1380
69,intel xeon 5217 3 ghz 11 mb processor,1830
70,amd ryzen 5 3400g processor,219
71,"intel xeon 5220 2,2 ghz 24,75 mb processor",1580
72,"intel xeon 4210 2,2 ghz 13,75 mb processor",509
73,intel 6226r 22 mb processor,1350
74,"intel xeon e-2224g 3,5 ghz 8 mb processor",359
75,"intel xeon w-3225 3,7 ghz 16,5 mb processor",1860
76,amd athlon 200ge processor,112
77,"intel xeon 4216 2,1 ghz 22 mb processor",999
78,"intel xeon 6248 2,5 ghz 27,5 mb processor",2630
79,"intel xeon 5218 2,3 ghz 22 mb processor",1230
80,"intel xeon e-2244g 3,8 ghz 8 mb processor",439
81,amd ryzen 9 3900xt processor,649
82,amd ryzen 7 1800x processor,399
83,"intel 5220r 35,75 mb processor",1720
84,intel cpu/xeon 4214 2.2ghz fc-lga3647 box 17 mb processor,729
85,amd ryzen 7 2700 tray processor,219
86,"intel 4210r 13,75 mb processor",509
87,"intel 6242r 35,75 mb processor",3090
88,amd ryzen 5 2600x tray processor,178
89,intel core i7 6900k processor,619
90,amd ryzen 7 2700 max processor,429
91,"intel 5218r 27,5 mb processor",1220
92,"intel xeon 6240 2,6 ghz 24,75 mb processor",2600
93,"intel xeon e-2236 3,4 ghz box 12 mb processor",429
94,"amd ryzen 5 pro 4650g 3,7 ghz 8 mb l2 & l3 processor",299
95,"intel xeon 5222 3,8 ghz 16,5 mb processor",1590
96,"intel xeon w-3223 3,5 ghz 16,5 mb processor",1180
97,amd a6 9500 processor,82
98,intel cpu/xeon 4216 2.1ghz fc-lga3647 box 22 mb processor,1370
99,"intel 4214r 16,5 mb processor",739
100,"intel xeon 6244 3,6 ghz 24,75 mb processor",3110
101,"intel xeon w-3235 3,3 ghz 19,25 mb processor",2160
102,intel cd8067303592600 niet gecategoriseerd processor,1370
103,"intel xeon 4215 2,5 ghz 11 mb processor",719
104,ryzen 3 2200g processor,126
105,"amd ryzen 3 4100 3,8 ghz 4 mb l3 processor",138
106,amd athlon 240ge processor,118
107,"intel 6240r 35,75 mb processor",2420
108,"intel xeon 6234 3,3 ghz 24,75 mb processor",2700
109,amd ryzen 5 3400g tray processor,192
110,amd x4 950 processor,72
111,"intel xeon e-2224 3,4 ghz box 8 mb processor",319
