,productnaam,prijs
0,gigabyte b550 aorus elite v2 moederbord,149
1,asus rog strix b550-f gaming moederbord,169
2,gigabyte b550m ds3h moederbord,109
3,asus tuf gaming b550-plus wifi ii moederbord,164
4,msi mag b550 tomahawk moederbord,169
5,gigabyte z790 aorus elite ax,309
6,asrock b550m steel legend moederbord,129
7,asrock b450 steel legend moederbord,99
8,gigabyte b550 gaming x v2 moederbord,129
9,gigabyte b550m aorus elite moederbord,119
10,asus rog strix b550-a gaming moederbord,149
11,msi b550 gaming gen3 moederbord,119
12,gigabyte b660m ds3h ddr4,124
13,asus prime z690-a,229
14,asus rog crosshair viii hero(wi-fi) moederbord,309
15,gigabyte b550 aorus elite ax v2 moederbord,179
16,asrock b550 phantom gaming 4 moederbord,109
17,asrock h310cm-dvs moederbord socket 1151,54
18,msi mpg b550 gaming plus moederbord,165
19,gigabyte b660 gaming x ddr4,159
20,asrock b550m pg riptide moederbord,119
21,msi mag z790 tomahawk wifi,375
22,asrock z790 pg sonic,299
23,gigabyte z690 aorus elite ddr4,239
24,asus prime b660m-a d4,124
25,gigabyte b550 aorus elite v2 moederbord,149
26,asus rog strix b550-f gaming moederbord,169
27,gigabyte b550m ds3h moederbord,109
28,asus tuf gaming b550-plus wifi ii moederbord,164
29,msi mag b550 tomahawk moederbord,169
30,gigabyte z790 aorus elite ax,309
31,asrock b550m steel legend moederbord,129
32,asrock b450 steel legend moederbord,99
33,gigabyte b550 gaming x v2 moederbord,129
34,gigabyte b550m aorus elite moederbord,119
35,asus rog strix b550-a gaming moederbord,149
36,msi b550 gaming gen3 moederbord,119
37,gigabyte b660m ds3h ddr4,124
38,asus prime z690-a,229
39,asus rog crosshair viii hero(wi-fi) moederbord,309
40,gigabyte b550 aorus elite ax v2 moederbord,179
41,asrock b550 phantom gaming 4 moederbord,109
42,asrock h310cm-dvs moederbord socket 1151,54
43,msi mpg b550 gaming plus moederbord,165
44,gigabyte b660 gaming x ddr4,159
45,asrock b550m pg riptide moederbord,119
46,msi mag z790 tomahawk wifi,375
47,asrock z790 pg sonic,299
48,gigabyte z690 aorus elite ddr4,239
49,asus prime b660m-a d4,124
50,gigabyte z790 gaming x ax,299
51,asrock b550 phantom gaming-itx/ax moederbord,199
52,asrock z790 pro rs,239
53,asrock b550m pro4 moederbord,114
54,gigabyte x570s ud moederbord,179
