,productnaam,prijs
0,samsung 980 1tb m.2 ssd,104
1,samsung 980 pro 1tb m.2 ssd,151
2,kingston nv2 1tb m.2 ssd,61
3,"seagate hdd 3.5"" 2tb st2000dm008 barracuda",49
4,samsung 980 pro 2tb m.2 ssd,237
5,samsung 970 evo plus 1tb m.2 ssd,112
6,kingston nv2 500gb m.2 ssd,37
7,kingston nv2 2tb m.2 ssd,123
8,samsung 980 500gb m.2 ssd,57
9,kingston kc3000 1tb m.2 ssd,99
10,kingston a400 480gb ssd,31
11,synology diskstation ds220+ nas,323
12,wd black sn770 1tb m.2 ssd,79
13,wd blue sn570 1tb m.2 ssd,76
14,pny cs900 1tb ssd,53
15,samsung 870 evo 1tb ssd,124
16,"seagate hdd 3.5"" 4tb st4000dm004 barracuda",80
17,pny cs900 2tb ssd,109
18,western digital red plus wd40efzx 4tb,103
19,samsung 970 evo plus 2tb m.2 ssd,239
20,"seagate hdd 3.5"" 1tb st1000dm010 barracuda",38
21,kingston a400 240gb ssd,19
22,"seagate hdd 3.5"" 4tb st4000dxa05 firecuda",154
23,kingston kc3000 2tb m.2 ssd,189
24,wd black sn850x 1tb m.2 ssd,104
25,samsung 980 1tb m.2 ssd,104
26,samsung 980 pro 1tb m.2 ssd,151
27,kingston nv2 1tb m.2 ssd,61
28,"seagate hdd 3.5"" 2tb st2000dm008 barracuda",49
29,samsung 980 pro 2tb m.2 ssd,237
30,samsung 970 evo plus 1tb m.2 ssd,112
31,kingston nv2 500gb m.2 ssd,37
32,kingston nv2 2tb m.2 ssd,123
33,samsung 980 500gb m.2 ssd,57
34,kingston kc3000 1tb m.2 ssd,99
35,kingston a400 480gb ssd,31
36,synology diskstation ds220+ nas,323
37,wd black sn770 1tb m.2 ssd,79
38,wd blue sn570 1tb m.2 ssd,76
39,pny cs900 1tb ssd,53
40,samsung 870 evo 1tb ssd,124
41,"seagate hdd 3.5"" 4tb st4000dm004 barracuda",80
42,pny cs900 2tb ssd,109
43,western digital red plus wd40efzx 4tb,103
44,samsung 970 evo plus 2tb m.2 ssd,239
45,"seagate hdd 3.5"" 1tb st1000dm010 barracuda",38
46,kingston a400 240gb ssd,19
47,"seagate hdd 3.5"" 4tb st4000dxa05 firecuda",154
48,kingston kc3000 2tb m.2 ssd,189
49,wd black sn850x 1tb m.2 ssd,104
50,seagate expansion stkp6000400 externe harde schijf 6000 gb zwart,130
51,synology device license 4x,173
52,transcend mte250h 2tb 2280 pcie gen4x4 nvme 3d tlc heatsink m.2 ssd,179
53,wd my cloud home duo 4tb,258
54,corsair force mp600 1tb r2.0 m.2 ssd,99
55,samsung t7 shield 1tb beige externe ssd,129
56,"wd hdd 3.5"" 16tb s-ata3 512mb wd161kfgx red pro",429
57,adata spectrix s40g internal solid state drive m.2 ssd,57
58,seagate firecuda 530 4tb heatsink m.2 ssd,599
59,synology rackstation rs1221+ nas,1249
60,wd red 500gb sata ssd,58
61,lc-power lc-dock-u3-iii hdd/ssd-dockingstation,32
62,western digital red plus wd40efpx 4tb,102
63,toshiba hdtb440ek3ca canvio basics 2 4tb zwart externe harde schijf,94
64,samsung t7 touch 2tb zwart externe ssd,262
65,wd mypassport 2tb externe ssd,259
66,"intenso memory case 2.5"" 1tb usb 3.0 zwart",46
67,msi spatium m480 1tb m.2 ssd,144
68,"icy box ib-3640su3 externe 4x 3,5"" behuizing  sata raid jbod",151
69,msi spatium m480 1tb hs m.2 ssd,139
70,"icy box ib-5251 5,25"" naar 2x 2,5""+1x3,5"" converter",15
71,qnap ts-251d ethernet lan toren wit nas nas,399
72,seagate firecuda 520 2tb m.2 ssd,239
73,western digital elements black 18tb 3.5in usb 3.0/2.0 externe harde schijf 2000 gb zwart,599
74,"toshiba mg08 14tb 3.5"" sata iii mg08aca14te",249
75,fastro ms200 2tb m.2 ssd,123
76,pny cs900 240gb ssd,18
77,crucial p5 plus 1tb m.2 ssd,103
78,fastro ms150 512gb m.2 ssd,31
79,samsung 870 qvo 2tb ssd,194
80,crucial p3 1tb m.2 ssd,76
81,samsung 870 evo 2tb ssd,199
82,crucial p3 2tb m.2 ssd,144
83,kingston fury renegade 2tb m.2 ssd,209
84,"seagate hdd nas 3.5"" 4tb st4000ne001 ironwolf pro",119
85,crucial mx500 4tb ssd,299
86,samsung 980 pro 2tb heatsink m.2 ssd,279
87,seagate firecuda 530 2tb m.2 ssd,239
88,kingston fury renegade 500gb heatsink m.2 ssd,99
89,western digital blue wd20ezbx 2tb,51
90,wd black sn770 500gb m.2 ssd,50
91,crucial p2 2tb m.2 ssd,149
92,synology diskstation ds220j nas,181
93,wd black sn850 1tb heatsink m.2 ssd,129
94,kingston a400 120gb ssd,17
95,"toshiba mg08 16tb 3.5"" sata iii mg08aca16te",268
96,samsung t7 500gb blauw externe ssd,69
97,qnap ts-464-4g quad-core nas nas,649
98,samsung t7 1tb grijs externe ssd,111
99,wd blue sn570 500gb m.2 ssd,46
100,kingston nv2 250gb m.2 ssd,29
101,western digital red plus wd60efzx 6tb,159
102,samsung 980 pro 1tb heatsink m.2 ssd,159
103,"toshiba mg09 18tb 3.5"" sata iii mg09aca18te",305
104,wd blue sn570 2tb m.2 ssd,149
105,western digital red wd40efax 4tb,99
106,wd black sn850x 2tb heatsink m.2 ssd,289
107,kingston xs2000 1tb externe ssd,124
108,"seagate hdd nas 3.5"" 6tb st6000vn001 ironwolf",152
109,wd elements portable 2tb zwart,71
110,samsung 870 qvo 4tb ssd,429
111,"gembird ee18-m2s3pcb-01 intern m.2 (ngff) to micro sata 1.8"" ssd adapter",8
112,crucial p2 500gb m.2 ssd,47
113,"corsair ssd bracket 3.5'' to 2.5""",7
114,samsung 870 qvo 8tb ssd,699
115,western digital blue wd40ezaz 4tb,93
116,wd green sn350 2tb m.2 ssd,124
117,asus rog strix arion zwart,54
118,"act ac1405 behuizing voor opslagstations 3.5""",24
119,zyxel nas326 nas,109
120,intenso top performance 128gb m.2 ssd,15
121,"seagate hdd nas 3.5"" 8tb st8000ne001 ironwolf pro",229
